,submission_date,assignment code,outcome code,outcome year,course_id,semester,course,section,outcome score,outcome rating,college,compliance
14622,2022-04-25,446733,CF4,U1516,SP2022_THEO3620_01,SP2022,THEO3620,01,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
14717,2022-04-25,446733,CF4,U1516,SP2022_THEO3620_01,SP2022,THEO3620,01,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
16262,2022-04-25,441431,CF4,U1516,SP2022_PHIL3620_01,SP2022,PHIL3620,01,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
17704,2022-04-17,441538,CF4,U1516,SP2022_PHIL3080_1U,SP2022,PHIL3080,1U,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
17704,2022-04-30,441519,CF4,U1516,SP2022_PHIL3080_1U,SP2022,PHIL3080,1U,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
18189,2022-04-17,441538,CF4,U1516,SP2022_PHIL3080_1U,SP2022,PHIL3080,1U,1.0,Minimum,College of Theology & Christian Ministry,Outcome assessed
18189,2022-05-01,441519,CF4,U1516,SP2022_PHIL3080_1U,SP2022,PHIL3080,1U,1.0,Minimum,College of Theology & Christian Ministry,Outcome assessed
18405,2022-04-18,441538,CF4,U1516,SP2022_PHIL3080_1U,SP2022,PHIL3080,1U,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
18405,2022-05-01,441519,CF4,U1516,SP2022_PHIL3080_1U,SP2022,PHIL3080,1U,1.0,Minimum,College of Theology & Christian Ministry,Outcome assessed
21434,2022-04-25,446733,CF4,U1516,SP2022_THEO3620_01,SP2022,THEO3620,01,-2.0,No Data Collected,College of Theology & Christian Ministry,Outcome attached - no assessment
21459,2022-04-17,441538,CF4,U1516,SP2022_PHIL3080_1U,SP2022,PHIL3080,1U,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
21459,2022-05-01,441519,CF4,U1516,SP2022_PHIL3080_1U,SP2022,PHIL3080,1U,1.0,Minimum,College of Theology & Christian Ministry,Outcome assessed
21510,2022-04-25,441431,CF4,U1516,SP2022_PHIL3620_01,SP2022,PHIL3620,01,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
21518,2022-04-25,446733,CF4,U1516,SP2022_THEO3620_01,SP2022,THEO3620,01,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
21559,2022-04-26,446733,CF4,U1516,SP2022_THEO3620_01,SP2022,THEO3620,01,1.0,Minimum,College of Theology & Christian Ministry,Outcome assessed
21603,2022-04-25,441431,CF4,U1516,SP2022_PHIL3620_01,SP2022,PHIL3620,01,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
21995,2022-04-25,441431,CF4,U1516,SP2022_PHIL3620_01,SP2022,PHIL3620,01,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
25889,2022-04-25,446733,CF4,U1516,SP2022_THEO3620_01,SP2022,THEO3620,01,1.0,Minimum,College of Theology & Christian Ministry,Outcome assessed
26125,2022-04-17,441538,CF4,U1516,SP2022_PHIL3080_1U,SP2022,PHIL3080,1U,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
26125,2022-05-01,441519,CF4,U1516,SP2022_PHIL3080_1U,SP2022,PHIL3080,1U,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
27346,2022-04-25,446733,CF4,U1516,SP2022_THEO3620_01,SP2022,THEO3620,01,1.0,Minimum,College of Theology & Christian Ministry,Outcome assessed
27401,2022-04-26,441431,CF4,U1516,SP2022_PHIL3620_01,SP2022,PHIL3620,01,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
27539,2022-04-17,441538,CF4,U1516,SP2022_PHIL3080_1U,SP2022,PHIL3080,1U,1.0,Minimum,College of Theology & Christian Ministry,Outcome assessed
27539,2022-05-01,441519,CF4,U1516,SP2022_PHIL3080_1U,SP2022,PHIL3080,1U,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
27598,2022-04-27,441431,CF4,U1516,SP2022_PHIL3620_01,SP2022,PHIL3620,01,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
27625,2022-04-26,446733,CF4,U1516,SP2022_THEO3620_01,SP2022,THEO3620,01,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
27694,2022-04-18,441538,CF4,U1516,SP2022_PHIL3080_1U,SP2022,PHIL3080,1U,1.0,Minimum,College of Theology & Christian Ministry,Outcome assessed
27905,2022-04-25,446733,CF4,U1516,SP2022_THEO3620_01,SP2022,THEO3620,01,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
27908,2022-04-26,446733,CF4,U1516,SP2022_THEO3620_01,SP2022,THEO3620,01,1.0,Minimum,College of Theology & Christian Ministry,Outcome assessed
27914,2022-04-25,441431,CF4,U1516,SP2022_PHIL3620_01,SP2022,PHIL3620,01,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
27919,2022-04-25,446733,CF4,U1516,SP2022_THEO3620_01,SP2022,THEO3620,01,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
32052,2022-04-17,441538,CF4,U1516,SP2022_PHIL3080_1U,SP2022,PHIL3080,1U,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
